	match_number	location	date	match_result_list	link_report	link_summary	link_scorecard	other_country	win_country	other_country_score	win_country_score
0	Final	 London	 Jul 14 2019	Match tied	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-new-zealand-final-1144530/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-new-zealand-final-1144530/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-new-zealand-final-1144530/full-scorecard	NZ	ENG	null	241/8
1	2nd Semi-final	 Birmingham	 Jul 11 2019	England won by 8 wickets (with 107 balls remaining)	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-australia-2nd-semi-final-1144529/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-australia-2nd-semi-final-1144529/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-australia-2nd-semi-final-1144529/full-scorecard	AUS	ENG	223	223
2	1st Semi-final	 Manchester	 Jul 9 2019	New Zealand won by 18 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-new-zealand-1st-semi-final-1144528/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-new-zealand-1st-semi-final-1144528/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-new-zealand-1st-semi-final-1144528/full-scorecard	NZ	INDIA	221	239/8
3	45th match (D/N)	 Manchester	 Jul 6 2019	South Africa won by 10 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-south-africa-45th-match-1144527/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-south-africa-45th-match-1144527/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-south-africa-45th-match-1144527/full-scorecard	SA	AUS	315	325/6
4	44th match	 Leeds	 Jul 6 2019	India won by 7 wickets (with 39 balls remaining)	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-sri-lanka-44th-match-1144526/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-sri-lanka-44th-match-1144526/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-sri-lanka-44th-match-1144526/full-scorecard	SL	INDIA	264/7	264/7
5	43rd match	 London	 Jul 5 2019	Pakistan won by 94 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/bangladesh-vs-pakistan-43rd-match-1144525/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/bangladesh-vs-pakistan-43rd-match-1144525/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/bangladesh-vs-pakistan-43rd-match-1144525/full-scorecard	PAK	BDESH	221	315/9
6	42nd match	 Leeds	 Jul 4 2019	West Indies won by 23 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-west-indies-42nd-match-1144524/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-west-indies-42nd-match-1144524/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-west-indies-42nd-match-1144524/full-scorecard	WI	AFG	288	311/6
7	41st match	 Chester-le-Street	 Jul 3 2019	England won by 119 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-new-zealand-41st-match-1144523/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-new-zealand-41st-match-1144523/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-new-zealand-41st-match-1144523/full-scorecard	ENG	NZ	186	305/8
8	40th match	 Birmingham	 Jul 2 2019	India won by 28 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/bangladesh-vs-india-40th-match-1144522/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/bangladesh-vs-india-40th-match-1144522/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/bangladesh-vs-india-40th-match-1144522/full-scorecard	INDIA	BDESH	286	314/9
9	39th match	 Chester-le-Street	 Jul 1 2019	Sri Lanka won by 23 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/sri-lanka-vs-west-indies-39th-match-1144521/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/sri-lanka-vs-west-indies-39th-match-1144521/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/sri-lanka-vs-west-indies-39th-match-1144521/full-scorecard	SL	WI	315/9	338/6
10	38th match	 Birmingham	 Jun 30 2019	England won by 31 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-india-38th-match-1144520/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-india-38th-match-1144520/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-india-38th-match-1144520/full-scorecard	ENG	INDIA	306/5	337/7
11	37th match (D/N)	 London	 Jun 29 2019	Australia won by 86 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-new-zealand-37th-match-1144519/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-new-zealand-37th-match-1144519/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-new-zealand-37th-match-1144519/full-scorecard	AUS	NZ	157	243/9
12	36th match	 Leeds	 Jun 29 2019	Pakistan won by 3 wickets (with 2 balls remaining)	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-pakistan-36th-match-1144518/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-pakistan-36th-match-1144518/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-pakistan-36th-match-1144518/full-scorecard	AFG	PAK	227/9	227/9
13	35th match	 Chester-le-Street	 Jun 28 2019	South Africa won by 9 wickets (with 76 balls remaining)	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/south-africa-vs-sri-lanka-35th-match-1144517/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/south-africa-vs-sri-lanka-35th-match-1144517/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/south-africa-vs-sri-lanka-35th-match-1144517/full-scorecard	SL	SA	203	203
14	34th match	 Manchester	 Jun 27 2019	India won by 125 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-west-indies-34th-match-1144516/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-west-indies-34th-match-1144516/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-west-indies-34th-match-1144516/full-scorecard	INDIA	WI	143	268/7
15	33rd match	 Birmingham	 Jun 26 2019	Pakistan won by 6 wickets (with 5 balls remaining)	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/new-zealand-vs-pakistan-33rd-match-1144515/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/new-zealand-vs-pakistan-33rd-match-1144515/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/new-zealand-vs-pakistan-33rd-match-1144515/full-scorecard	NZ	PAK	237/6	237/6
16	32nd match	 London	 Jun 25 2019	Australia won by 64 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-australia-32nd-match-1144514/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-australia-32nd-match-1144514/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-australia-32nd-match-1144514/full-scorecard	AUS	ENG	221	285/7
17	31st match	 Southampton	 Jun 24 2019	Bangladesh won by 62 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-bangladesh-31st-match-1144513/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-bangladesh-31st-match-1144513/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-bangladesh-31st-match-1144513/full-scorecard	BDESH	AFG	200	262/7
18	30th match	 London	 Jun 23 2019	Pakistan won by 49 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/pakistan-vs-south-africa-30th-match-1144512/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/pakistan-vs-south-africa-30th-match-1144512/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/pakistan-vs-south-africa-30th-match-1144512/full-scorecard	PAK	SA	259/9	308/7
19	29th match (D/N)	 Manchester	 Jun 22 2019	New Zealand won by 5 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/new-zealand-vs-west-indies-29th-match-1144511/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/new-zealand-vs-west-indies-29th-match-1144511/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/new-zealand-vs-west-indies-29th-match-1144511/full-scorecard	NZ	WI	286	291/8
20	28th match	 Southampton	 Jun 22 2019	India won by 11 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-india-28th-match-1144510/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-india-28th-match-1144510/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-india-28th-match-1144510/full-scorecard	INDIA	AFG	213	224/8
21	27th match	 Leeds	 Jun 21 2019	Sri Lanka won by 20 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-sri-lanka-27th-match-1144509/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-sri-lanka-27th-match-1144509/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-sri-lanka-27th-match-1144509/full-scorecard	SL	ENG	212	232/9
22	26th match	 Nottingham	 Jun 20 2019	Australia won by 48 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-bangladesh-26th-match-1144508/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-bangladesh-26th-match-1144508/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-bangladesh-26th-match-1144508/full-scorecard	AUS	BDESH	333/8	381/5
23	25th match	 Birmingham	 Jun 19 2019	New Zealand won by 4 wickets (with 3 balls remaining)	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/new-zealand-vs-south-africa-25th-match-1144507/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/new-zealand-vs-south-africa-25th-match-1144507/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/new-zealand-vs-south-africa-25th-match-1144507/full-scorecard	SA	NZ	241/6	241/6
24	24th match	 Manchester	 Jun 18 2019	England won by 150 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-afghanistan-24th-match-1144506/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-afghanistan-24th-match-1144506/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-afghanistan-24th-match-1144506/full-scorecard	ENG	AFG	247/8	397/6
25	23rd match	 Taunton	 Jun 17 2019	Bangladesh won by 7 wickets (with 51 balls remaining)	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/bangladesh-vs-west-indies-23rd-match-1144505/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/bangladesh-vs-west-indies-23rd-match-1144505/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/bangladesh-vs-west-indies-23rd-match-1144505/full-scorecard	WI	BDESH	321/8	321/8
26	22nd match	 Manchester	 Jun 16 2019	India won by 89 runs (D/L method)	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-pakistan-22nd-match-1144504/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-pakistan-22nd-match-1144504/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-pakistan-22nd-match-1144504/full-scorecard	INDIA	PAK	212/6	336/5
27	21st match (D/N)	 Cardiff	 Jun 15 2019	South Africa won by 9 wickets (with 116 balls remaining) (D/L method)	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-south-africa-21st-match-1144503/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-south-africa-21st-match-1144503/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-south-africa-21st-match-1144503/full-scorecard	AFG	SA	125	125
28	20th match	 London	 Jun 15 2019	Australia won by 87 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-sri-lanka-20th-match-1144502/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-sri-lanka-20th-match-1144502/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-sri-lanka-20th-match-1144502/full-scorecard	AUS	SL	247	334/7
29	19th match	 Southampton	 Jun 14 2019	England won by 8 wickets (with 101 balls remaining)	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-west-indies-19th-match-1144501/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-west-indies-19th-match-1144501/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-west-indies-19th-match-1144501/full-scorecard	WI	ENG	212	212
30	18th match	 Nottingham	 Jun 13 2019	Match abandoned without a ball bowled	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-new-zealand-18th-match-1144500/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-new-zealand-18th-match-1144500/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-new-zealand-18th-match-1144500/full-scorecard	India	New Zealand	null	null
31	17th match	 Taunton	 Jun 12 2019	Australia won by 41 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-pakistan-17th-match-1144499/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-pakistan-17th-match-1144499/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-pakistan-17th-match-1144499/full-scorecard	AUS	PAK	266	307
32	16th match	 Bristol	 Jun 11 2019	Match abandoned without a ball bowled	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/bangladesh-vs-sri-lanka-16th-match-1144498/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/bangladesh-vs-sri-lanka-16th-match-1144498/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/bangladesh-vs-sri-lanka-16th-match-1144498/full-scorecard	Bangladesh	Sri Lanka	null	null
33	15th match	 Southampton	 Jun 10 2019	No result	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/south-africa-vs-west-indies-15th-match-1144497/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/south-africa-vs-west-indies-15th-match-1144497/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/south-africa-vs-west-indies-15th-match-1144497/full-scorecard	SA	WI	null	null
34	14th match	 London	 Jun 9 2019	India won by 36 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-india-14th-match-1144496/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-india-14th-match-1144496/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-india-14th-match-1144496/full-scorecard	INDIA	AUS	316	352/5
35	13th match (D/N)	 Taunton	 Jun 8 2019	New Zealand won by 7 wickets (with 107 balls remaining)	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-new-zealand-13th-match-1144495/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-new-zealand-13th-match-1144495/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-new-zealand-13th-match-1144495/full-scorecard	AFG	NZ	172	172
36	12th match	 Cardiff	 Jun 8 2019	England won by 106 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-bangladesh-12th-match-1144494/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-bangladesh-12th-match-1144494/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-bangladesh-12th-match-1144494/full-scorecard	ENG	BDESH	280	386/6
37	11th match	 Bristol	 Jun 7 2019	Match abandoned without a ball bowled	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/pakistan-vs-sri-lanka-11th-match-1144493/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/pakistan-vs-sri-lanka-11th-match-1144493/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/pakistan-vs-sri-lanka-11th-match-1144493/full-scorecard	Pakistan	Sri Lanka	null	null
38	10th match	 Nottingham	 Jun 6 2019	Australia won by 15 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-west-indies-10th-match-1144492/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-west-indies-10th-match-1144492/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-west-indies-10th-match-1144492/full-scorecard	AUS	WI	273/9	288
39	9th match (D/N)	 London	 Jun 5 2019	New Zealand won by 2 wickets (with 17 balls remaining)	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/bangladesh-vs-new-zealand-9th-match-1144491/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/bangladesh-vs-new-zealand-9th-match-1144491/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/bangladesh-vs-new-zealand-9th-match-1144491/full-scorecard	BDESH	NZ	244	244
40	8th match	 Southampton	 Jun 5 2019	India won by 6 wickets (with 15 balls remaining)	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-south-africa-8th-match-1144490/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-south-africa-8th-match-1144490/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-south-africa-8th-match-1144490/full-scorecard	SA	INDIA	227/9	227/9
41	7th match	 Cardiff	 Jun 4 2019	Sri Lanka won by 34 runs (D/L method)	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-sri-lanka-7th-match-1144489/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-sri-lanka-7th-match-1144489/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-sri-lanka-7th-match-1144489/full-scorecard	SL	AFG	152	201
42	6th match	 Nottingham	 Jun 3 2019	Pakistan won by 14 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-pakistan-6th-match-1144488/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-pakistan-6th-match-1144488/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-pakistan-6th-match-1144488/full-scorecard	PAK	ENG	334/9	348/8
43	5th match	 London	 Jun 2 2019	Bangladesh won by 21 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/bangladesh-vs-south-africa-5th-match-1144487/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/bangladesh-vs-south-africa-5th-match-1144487/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/bangladesh-vs-south-africa-5th-match-1144487/full-scorecard	BDESH	SA	309/8	330/6
44	4th match (D/N)	 Bristol	 Jun 1 2019	Australia won by 7 wickets (with 91 balls remaining)	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-australia-4th-match-1144486/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-australia-4th-match-1144486/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-australia-4th-match-1144486/full-scorecard	AFG	AUS	207	207
45	3rd match	 Cardiff	 Jun 1 2019	New Zealand won by 10 wickets (with 203 balls remaining)	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/new-zealand-vs-sri-lanka-3rd-match-1144485/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/new-zealand-vs-sri-lanka-3rd-match-1144485/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/new-zealand-vs-sri-lanka-3rd-match-1144485/full-scorecard	SL	NZ	136	136
46	2nd match	 Nottingham	 May 31 2019	West Indies won by 7 wickets (with 218 balls remaining)	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/pakistan-vs-west-indies-2nd-match-1144484/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/pakistan-vs-west-indies-2nd-match-1144484/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/pakistan-vs-west-indies-2nd-match-1144484/full-scorecard	PAK	WI	105	105
47	1st match	 London	 May 30 2019	England won by 104 runs	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-south-africa-1st-match-1144483/match-report	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-south-africa-1st-match-1144483/live-cricket-score	https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-south-africa-1st-match-1144483/full-scorecard	ENG	SA	207	311/8
